caseid,original_shape_Elongation,original_shape_Flatness,original_shape_LeastAxisLength,original_shape_MajorAxisLength,original_shape_Maximum2DDiameterColumn,original_shape_Maximum2DDiameterRow,original_shape_Maximum2DDiameterSlice,original_shape_Maximum3DDiameter,original_shape_MeshVolume,original_shape_MinorAxisLength,original_shape_Sphericity,original_shape_SurfaceArea,original_shape_SurfaceVolumeRatio,original_shape_VoxelVolume,original_firstorder_10Percentile,original_firstorder_90Percentile,original_firstorder_Energy,original_firstorder_Entropy,original_firstorder_InterquartileRange,original_firstorder_Kurtosis,original_firstorder_Maximum,original_firstorder_MeanAbsoluteDeviation,original_firstorder_Mean,original_firstorder_Median,original_firstorder_Minimum,original_firstorder_Range,original_firstorder_RobustMeanAbsoluteDeviation,original_firstorder_RootMeanSquared,original_firstorder_Skewness,original_firstorder_TotalEnergy,original_firstorder_Uniformity,original_firstorder_Variance,original_glcm_Autocorrelation,original_glcm_ClusterProminence,original_glcm_ClusterShade,original_glcm_ClusterTendency,original_glcm_Contrast,original_glcm_Correlation,original_glcm_DifferenceAverage,original_glcm_DifferenceEntropy,original_glcm_DifferenceVariance,original_glcm_Id,original_glcm_Idm,original_glcm_Idmn,original_glcm_Idn,original_glcm_Imc1,original_glcm_Imc2,original_glcm_InverseVariance,original_glcm_JointAverage,original_glcm_JointEnergy,original_glcm_JointEntropy,original_glcm_MaximumProbability,original_glcm_SumEntropy,original_glcm_SumSquares,original_glrlm_GrayLevelNonUniformity,original_glrlm_GrayLevelNonUniformityNormalized,original_glrlm_GrayLevelVariance,original_glrlm_HighGrayLevelRunEmphasis,original_glrlm_LongRunEmphasis,original_glrlm_LongRunHighGrayLevelEmphasis,original_glrlm_LongRunLowGrayLevelEmphasis,original_glrlm_LowGrayLevelRunEmphasis,original_glrlm_RunEntropy,original_glrlm_RunLengthNonUniformity,original_glrlm_RunLengthNonUniformityNormalized,original_glrlm_RunPercentage,original_glrlm_RunVariance,original_glrlm_ShortRunEmphasis,original_glrlm_ShortRunHighGrayLevelEmphasis,original_glrlm_ShortRunLowGrayLevelEmphasis,original_glszm_GrayLevelNonUniformity,original_glszm_GrayLevelNonUniformityNormalized,original_glszm_GrayLevelVariance,original_glszm_HighGrayLevelZoneEmphasis,original_glszm_LargeAreaEmphasis,original_glszm_LargeAreaHighGrayLevelEmphasis,original_glszm_LargeAreaLowGrayLevelEmphasis,original_glszm_LowGrayLevelZoneEmphasis,original_glszm_SizeZoneNonUniformity,original_glszm_SizeZoneNonUniformityNormalized,original_glszm_SmallAreaEmphasis,original_glszm_SmallAreaHighGrayLevelEmphasis,original_glszm_SmallAreaLowGrayLevelEmphasis,original_glszm_ZoneEntropy,original_glszm_ZonePercentage,original_glszm_ZoneVariance,original_gldm_DependenceEntropy,original_gldm_DependenceNonUniformity,original_gldm_DependenceNonUniformityNormalized,original_gldm_DependenceVariance,original_gldm_GrayLevelNonUniformity,original_gldm_GrayLevelVariance,original_gldm_HighGrayLevelEmphasis,original_gldm_LargeDependenceEmphasis,original_gldm_LargeDependenceHighGrayLevelEmphasis,original_gldm_LargeDependenceLowGrayLevelEmphasis,original_gldm_LowGrayLevelEmphasis,original_gldm_SmallDependenceEmphasis,original_gldm_SmallDependenceHighGrayLevelEmphasis,original_gldm_SmallDependenceLowGrayLevelEmphasis,original_ngtdm_Busyness,original_ngtdm_Coarseness,original_ngtdm_Complexity,original_ngtdm_Contrast,original_ngtdm_Strength
sub-strokecase0001,0.3638385035283196,0.3233866100915722,56.82802950056555,175.72783698271786,104.35037134576953,132.92479076530458,99.28242543370907,133.06389442670013,6204.541666666667,63.93655323606057,0.2579705709108691,6329.757858494054,1.0201813765713106,6438.0,2.76835668345922,5.691711933415039,117265.17342928049,0.002189341387275427,1.4374514256056385,4.909277482913041,9.727081956040745,0.9486638238066329,4.077222652723253,3.8621175628471134,-0.0504652863564156,9.77754724239716,0.6135795749096399,4.267848937045193,1.0860322889720613,117265.17342928049,0.9996893927703454,1.5907899895581483,3.9996770191238324,0.00016133866721073747,-0.00016137658746698982,0.0001614524818869342,0.00016149043808362255,0.3076115529830934,0.00016149043808362255,0.0021805669298821644,0.00016145248188693424,0.9999192547809581,0.9999192547809581,0.9999677019123834,0.9999461698539721,-8.033811926641113e-06,0.00013716540737699771,0.00016149043808362255,1.9999192547809581,0.9996770760581277,0.0023420573679655654,0.9998385095619164,0.0021805669298821644,8.07357299926392e-05,2076.154855938373,0.9989907550600962,0.0005046224699519025,3.998485323209851,15.597144640909752,62.38706388684886,3.8996648294249754,0.2503786691975374,2.711610566761332,412.34218246730177,0.19067274926908165,0.32279494348459864,4.414788589815682,0.30027567686126394,1.1995880306549063,0.07544758841285336,32.05882352941177,0.9429065743944637,0.028546712802768163,3.911764705882353,112322.58823529411,449290.26470588235,28080.66911764706,0.27205882352941174,1.0,0.029411764705882353,0.03066654881644865,0.03443090114814755,0.02972546073352392,5.087462841250329,0.005281143212177695,76468.05190311419,4.159229373768529,425.23578751164956,0.0660509144938878,32.56311493548374,6436.000310655483,0.00015530361482734783,3.999534016775396,378.7958993476235,1515.1831314072692,94.69909133271202,0.250116495806151,0.00422987175551039,0.01645350379743765,0.001173963745028576,0.15119826516139478,1.6538434565409157,0.0001878385054163623,3.8707477606125925e-08,1.2464237524730633
sub-strokecase0002,0.9022659816323739,0.550177747257161,8.489684016754268,15.430802243599409,15.524174696260024,15.620499351813308,15.811388300841896,18.57417562100671,920.5,13.922687933696258,0.6405041871645717,714.460154524993,0.7761652955187321,937.0,3.8049340681358603,5.994525110365258,23142.41535325429,-3.203426503814917e-16,1.208471964038206,2.65954988608907,7.141272780831657,0.6946622681869906,4.896409972761363,4.893479432007182,2.0073889981873565,5.1338837826443005,0.50031118562087,4.969750047211112,-0.04903408317465455,23142.41535325429,1.0,0.723584910397912,1.0,0.0,0.0,0.0,0.0,1.0,0.0,-3.2034265038149176e-16,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,-3.2034265038149176e-16,1.0,-3.2034265038149176e-16,0.0,231.07692307692307,1.0,0.0,1.0,25.10775987029934,25.10775987029934,25.10775987029934,1.0,2.980181627743529,35.58674358911584,0.1464918503026498,0.24661357852393068,6.2048345812695835,0.20842661383691102,0.20842661383691102,0.20842661383691102,1.0,1.0,0.0,1.0,877969.0,877969.0,877969.0,1.0,1.0,1.0,1.138992379001992e-06,1.138992379001992e-06,1.138992379001992e-06,-3.203426503814917e-16,0.0010672358591248667,0.0,4.004815626434777,73.18143009605123,0.0781018464205456,28.395929696834393,937.0,0.0,1.0,452.26360725720383,452.26360725720383,452.26360725720383,1.0,0.0031133879446150654,0.0031133879446150654,0.0031133879446150654,0.0,1000000.0,0.0,0.0,0.0
sub-strokecase0003,0.5872631366090963,0.44000054639683805,33.24010432147281,75.5455978263569,83.45058418010026,146.70037491431302,114.35471131527551,150.5755624263114,30458.75,44.36514473651568,0.4320453452437228,10916.82071900626,0.3584132874463417,30773.0,3.9179174309420643,10.241388822609846,1697642.4755882456,-3.203426503814917e-16,3.981561037907719,2.059902672268376,13.341613403196938,2.047134316792028,7.030928920635248,6.9860886071211885,0.39343162812994364,12.948181775066994,1.5939475867796014,7.427423681557164,0.08638646983759155,1697642.4755882456,1.0,5.732661058331025,1.0,0.0,0.0,0.0,0.0,1.0,0.0,-3.2034265038149176e-16,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,-3.2034265038149176e-16,1.0,-3.2034265038149176e-16,0.0,3557.6153846153848,1.0,0.0,1.0,152.5764426912038,152.5764426912038,152.5764426912038,1.0,4.295017468170124,272.4700474757446,0.07402694525445387,0.11560833797859763,67.99726013201058,0.19570098849211925,0.19570098849211925,0.19570098849211925,47.0,1.0,0.0,1.0,17853924.617021278,17853924.617021278,17853924.617021278,1.0,1.5106382978723405,0.03214124038026256,0.0035094198129575664,0.0035094198129575664,0.0035094198129575664,5.070442309078402,0.0015273129041692393,17425234.019918513,2.6031702177444,11429.680076690605,0.3714191036522473,23.377114964255927,30773.0,0.0,1.0,599.0979430019822,599.0979430019822,599.0979430019822,1.0,0.00222005231024219,0.00222005231024219,0.00222005231024219,0.0,1000000.0,0.0,0.0,0.0
sub-strokecase0004,0.7679237812350711,0.25931753218081083,18.0637867413637,69.65894897059489,49.040799340956916,84.581321815162,62.00806399170998,84.63450832845902,2128.125,53.49276349036009,0.48037088875603395,1665.6057046988926,0.7826634735736353,2189.0,2.656660329036579,8.201306066694926,60246.72348118394,-3.203426503814917e-16,2.8125607882633306,2.859672401527765,10.853349653597736,1.7016495376035519,4.812854731714007,4.1992292674583815,0.5014954396903117,10.351854213907425,1.2059467449735053,5.2461878295907205,0.8518903854342684,60246.72348118394,1.0,4.358916074763876,1.0,0.0,0.0,0.0,0.0,1.0,0.0,-3.2034265038149176e-16,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,-3.2034265038149176e-16,1.0,-3.2034265038149176e-16,0.0,547.5384615384615,1.0,0.0,1.0,26.89100545839495,26.89100545839495,26.89100545839495,1.0,3.0220062530807956,81.85923763943126,0.14361683140388373,0.25013177776996876,7.914977432380226,0.2393540261375128,0.2393540261375128,0.2393540261375128,8.0,1.0,0.0,1.0,366411.375,366411.375,366411.375,1.0,1.0,0.125,0.0010103352213727342,0.0010103352213727342,0.0010103352213727342,2.9999999999999973,0.003654636820465966,291540.734375,3.8240739842986615,240.85015989036089,0.11002748281880352,33.16638844373451,2189.0,0.0,1.0,453.2759250799452,453.2759250799452,453.2759250799452,1.0,0.0032946974583293624,0.0032946974583293624,0.0032946974583293624,0.0,1000000.0,0.0,0.0,0.0
sub-strokecase0005,0.3960856231002136,0.2174497248219563,23.442017891573244,107.80431159785151,63.50590523722971,79.61155694998057,76.53757247260981,104.75208828467335,5608.458333333333,42.6997379321246,0.42008238289049693,3633.9475457131775,0.6479405443943765,5695.0,4.029600100960217,8.157358211665844,221745.69655489016,-3.203426503814917e-16,2.241609207089386,6.053059342996541,18.684686603970164,1.336568879175493,5.994635437811279,5.778995224613569,1.1877020637722486,17.496984540197914,0.9225005621033955,6.239944628349052,1.093915788551679,221745.69655489016,1.0,3.0012549325993527,1.0,0.0,0.0,0.0,0.0,1.0,0.0,-3.2034265038149176e-16,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,-3.2034265038149176e-16,1.0,-3.2034265038149176e-16,0.0,1185.6923076923076,1.0,0.0,1.0,39.02836716089203,39.02836716089203,39.02836716089203,1.0,3.4250556825258514,138.1476365309795,0.11199745412628899,0.20819882488012423,12.32942351713052,0.21015006775861136,0.21015006775861136,0.21015006775861136,8.0,1.0,0.0,1.0,1976695.625,1976695.625,1976695.625,1.0,1.0,0.125,0.000309705371972499,0.000309705371972499,0.000309705371972499,2.9999999999999973,0.0014047410008779632,1469929.609375,3.61845064223737,830.2280948200175,0.1457819306093095,30.334822175853162,5695.0,0.0,1.0,496.3260755048288,496.3260755048288,496.3260755048288,1.0,0.002866376239597844,0.002866376239597844,0.002866376239597844,0.0,1000000.0,0.0,0.0,0.0
sub-strokecase0006,0.5209682894259335,0.3193200683169485,2.355144928309228,7.375499262299964,5.0,6.708203932499369,6.324555320336759,7.0,33.791666666666664,3.842401234342647,0.7158271754395601,70.61262410418999,2.089646089396498,39.0,3.739272976589721,5.082693031421321,741.5854218330219,-3.203426503814917e-16,0.6477294211281253,2.261922927283946,5.324006719727376,0.40589478415527525,4.332804025187339,4.2672901987948455,3.3624158245915234,1.9615908951358527,0.29846462492891923,4.360620462300214,0.11861523579629629,741.5854218330219,1.0,0.24182009555172054,1.0,0.0,0.0,0.0,0.0,1.0,0.0,-3.2034265038149176e-16,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,-3.2034265038149176e-16,1.0,-3.2034265038149176e-16,0.0,23.076923076923077,1.0,0.0,1.0,3.9027243053640084,3.9027243053640084,3.9027243053640084,1.0,1.3248469352927619,10.70168220926785,0.4450703599152868,0.5917159763313609,0.5266717832544384,0.5579967824401423,0.5579967824401423,0.5579967824401423,1.0,1.0,0.0,1.0,1521.0,1521.0,1521.0,1.0,1.0,1.0,0.0006574621959237344,0.0006574621959237344,0.0006574621959237344,-3.203426503814917e-16,0.02564102564102564,0.0,3.27671769507667,4.641025641025641,0.11900065746219593,8.390532544378697,39.0,0.0,1.0,143.30769230769232,143.30769230769232,143.30769230769232,1.0,0.009070376848822654,0.009070376848822654,0.009070376848822654,0.0,1000000.0,0.0,0.0,0.0
sub-strokecase0007,0.2465405263703118,0.20833163706333582,24.82095924309009,119.1415744289676,40.01249804748511,42.0,82.21921916437786,88.55506761332182,3127.75,29.37322647230535,0.3591121674171653,2880.1074653809833,0.9208240637458184,3224.0,2.8968136256082775,5.153478778002515,54525.47076762946,-3.203426503814917e-16,1.02784371533961,4.17087420794757,7.311275421562597,0.7127684923442612,3.996967682499361,3.985563934889446,0.2721136938869654,7.039161727675631,0.4409764999866383,4.11246481606939,-0.17124432435681355,54525.47076762946,1.0,0.9366162084643241,1.0,0.0,0.0,0.0,0.0,1.0,0.0,-3.2034265038149176e-16,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,-3.2034265038149176e-16,1.0,-3.2034265038149176e-16,0.0,943.6923076923077,1.0,0.0,1.0,20.866215760893734,20.866215760893734,20.866215760893734,1.0,2.9094210420731486,163.7015642143401,0.1632221646681097,0.29270853216262643,5.9137709935368195,0.2954206097986933,0.2954206097986933,0.2954206097986933,9.0,1.0,0.0,1.0,287807.1111111111,287807.1111111111,287807.1111111111,1.0,1.0,0.1111111111111111,0.0006848086275321757,0.0006848086275321757,0.0006848086275321757,3.169925001442309,0.002791563275434243,159483.95061728393,4.142015042601265,234.58560794044666,0.0727622853413296,34.13048691882839,3224.0,0.0,1.0,410.0862282878412,410.0862282878412,410.0862282878412,1.0,0.004032551986346047,0.004032551986346047,0.004032551986346047,0.0,1000000.0,0.0,0.0,0.0
sub-strokecase0008,0.5441769153993703,0.1718853563322347,8.501181467958427,49.45843933049547,47.095647357266465,47.16990566028302,23.08679276123039,49.85980344927164,704.4166666666666,26.914140955335924,0.4594950819589508,833.2135788376656,1.1828419432215767,740.0,2.9105784769003993,4.733401561263709,11312.375806881422,-3.203426503814917e-16,0.9823222969735408,4.195770480093513,7.349108792678595,0.592181735567903,3.834815541696369,3.7964865056462367,2.0293518987300407,5.319756893948554,0.40653421712526544,3.909858607881306,0.62256041632279,11312.375806881422,1.0,0.5811840947875286,1.0,0.0,0.0,0.0,0.0,1.0,0.0,-3.2034265038149176e-16,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,-3.2034265038149176e-16,1.0,-3.2034265038149176e-16,0.0,272.46153846153845,1.0,0.0,1.0,11.701257008805085,11.701257008805085,11.701257008805085,1.0,2.333296960195903,69.84248955845365,0.24030909078766974,0.36819126819126813,2.7927155557953975,0.32231634175796925,0.32231634175796925,0.32231634175796925,5.0,1.0,0.0,1.0,50040.0,50040.0,50040.0,1.0,1.0,0.2,0.0002424398722570741,0.0002424398722570741,0.0002424398722570741,2.321928094887361,0.006756756756756757,28136.0,4.233093643763534,42.27567567567568,0.057129291453615776,26.52575602629657,740.0,0.0,1.0,330.227027027027,330.227027027027,330.227027027027,1.0,0.004450305251035095,0.004450305251035095,0.004450305251035095,0.0,1000000.0,0.0,0.0,0.0
sub-strokecase0009,0.5392534938942394,0.42242741988206745,34.639587299729534,82.00127564967292,47.885279575251516,107.54068997360952,72.44308110509934,115.84472366059664,3962.0833333333335,44.219474397870734,0.37133334583142225,3260.888212472627,0.8230236312897575,4097.0,3.0028307071344584,6.575283463654207,96093.7134402102,-3.203426503814917e-16,1.9424017770481217,3.1084346518442554,9.852568898174699,1.1248054680391,4.636514029282155,4.422133306459463,1.0617290635818322,8.790839834592866,0.7965871938836733,4.843000415467185,0.6188338146736657,96093.7134402102,1.0,1.9573906804850776,1.0,0.0,0.0,0.0,0.0,1.0,0.0,-3.2034265038149176e-16,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,-3.2034265038149176e-16,1.0,-3.2034265038149176e-16,0.0,1069.2307692307693,1.0,0.0,1.0,24.388109587644312,24.388109587644312,24.388109587644312,1.0,3.0603017867994486,158.1211588741964,0.14259071451418093,0.26097895270460564,7.4966101158977185,0.2662021075572143,0.2662021075572143,0.2662021075572143,18.0,1.0,0.0,1.0,222580.05555555556,222580.05555555556,222580.05555555556,1.0,1.1111111111111112,0.06172839506172839,0.0010199874849200292,0.0010199874849200292,0.0010199874849200292,4.058813890331196,0.004393458628264584,170773.23765432098,3.9205638011614554,416.0622406639004,0.1015529022855505,35.276156452309266,4097.0,0.0,1.0,443.9040761532829,443.9040761532829,443.9040761532829,1.0,0.0035091468632692233,0.0035091468632692233,0.0035091468632692233,0.0,1000000.0,0.0,0.0,0.0
sub-strokecase0010,0.8270189341535797,0.21610400226020518,20.28775670686835,93.87959729889867,81.41252974819048,72.44308110509934,79.62411694957753,88.60586888011426,3132.4583333333335,77.64020449690246,0.3251480857023955,3184.1471151269548,1.016501027721131,3247.0,3.79299755984573,7.116880537552836,95431.68991552123,-3.203426503814917e-16,1.6340607900993538,4.6133059190680115,11.7171428213898,1.05688838235058,5.2437734483793985,4.9691135869603045,1.6554639665158783,10.061678854873922,0.6995352747429463,5.421321499297365,1.09456665050646,95431.68991552123,1.0,1.8935668208150755,1.0,0.0,0.0,0.0,0.0,1.0,0.0,-3.2034265038149176e-16,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,-3.2034265038149176e-16,1.0,-3.2034265038149176e-16,0.0,1039.3846153846155,1.0,0.0,1.0,14.603712262027368,14.603712262027368,14.603712262027368,1.0,2.6234116360170043,204.12562181411465,0.18856907775980616,0.32010613347231764,3.2952065030760505,0.2720693353097998,0.2720693353097998,0.2720693353097998,14.0,1.0,0.0,1.0,98830.07142857143,98830.07142857143,98830.07142857143,1.0,1.0,0.07142857142857142,0.00014686643491642256,0.00014686643491642256,0.00014686643491642256,3.8073549220576,0.004311672312904219,45039.20918367346,4.2109058307646965,192.56020942408378,0.05930403739577572,30.304203287695188,3247.0,0.0,1.0,379.14351709270096,379.14351709270096,379.14351709270096,1.0,0.00393011726898456,0.00393011726898456,0.00393011726898456,0.0,1000000.0,0.0,0.0,0.0
